Time(s),Degrees of Rotation
0.0,89.3682861328125
0.1,90.44769287109375
0.2,90.3900146484375
0.3,90.406494140625
0.4,90.538330078125
0.5,90.3900146484375
0.6,90.17578125
0.7,90.08514404296875
0.8,90.15106201171875
0.9,90.076904296875
1.0,90.1263427734375
1.1,90.43121337890625
1.2,90.46417236328125
1.3,90.4888916015625
1.4,90.24993896484375
1.5,90.538330078125
1.6,90.16754150390625
1.7,90.53009033203125
1.8,90.3900146484375
1.9,90.49713134765625
2.0,90.46417236328125
2.1,90.46417236328125
2.2,90.439453125
2.3,90.0274658203125
2.4,90.13458251953125
2.5,90.0933837890625
2.6,90.13458251953125
2.7,90.31585693359375
2.8,90.31585693359375
2.9,90.63720703125
3.0,90.6207275390625
3.1,90.82672119140625
3.2,90.62896728515625
3.3,90.7196044921875
3.4,90.72784423828125
3.5,90.6866455078125
3.6,90.71136474609375
3.7,90.76904296875
3.8,90.604248046875
3.9,90.8514404296875
4.0,90.63720703125
4.1,90.4559326171875
4.2,90.74432373046875
4.3,90.36529541015625
4.4,90.28289794921875
4.5,90.48065185546875
4.6,90.24993896484375
4.7,90.85968017578125
4.8,90.67840576171875
4.9,90.67840576171875
5.0,90.76904296875
5.1,90.670166015625
5.2,90.67840576171875
5.3,90.7855224609375
5.4,90.3900146484375
5.5,90.77728271484375
5.6,90.67840576171875
5.7,90.66192626953125
5.8,90.67840576171875
5.9,90.670166015625
6.0,90.670166015625
6.1,90.439453125
6.2,90.3076171875
6.3,90.3570556640625
6.4,90.46417236328125
6.5,90.28289794921875
6.6,90.51361083984375
6.7,90.670166015625
6.8,90.6536865234375
6.9,90.802001953125
7.0,90.6536865234375
7.1,90.6536865234375
7.2,90.77728271484375
7.3,54.70367431640625
7.4,0.04119873046875
7.5,0.032958984375
7.6,0.032958984375
7.7,0.032958984375
7.8,0.032958984375
7.9,0.032958984375
8.0,0.04119873046875
8.1,0.04119873046875
8.2,0.032958984375
8.3,0.04119873046875
8.4,0.02471923828125
8.5,0.032958984375
8.6,0.04119873046875
8.7,0.032958984375
8.8,0.04119873046875
8.9,0.032958984375
9.0,44.05792236328125
