Time(s),Degrees of Rotation
0.0,0.04119873046875
0.1,0.032958984375
0.2,0.032958984375
0.3,0.032958984375
0.4,0.032958984375
0.5,0.032958984375
0.6,0.04119873046875
0.7,0.04119873046875
0.8,0.032958984375
0.9,0.032958984375
1.0,0.02471923828125
1.1,0.032958984375
1.2,0.032958984375
1.3,0.032958984375
1.4,49.03472900390625
1.5,89.90386962890625
1.6,90.56304931640625
1.7,90.703125
1.8,90.11810302734375
1.9,90.8349609375
2.0,90.81024169921875
2.1,90.8349609375
2.2,90.8514404296875
2.3,90.867919921875
2.4,90.94207763671875
2.5,90.8184814453125
2.6,90.90087890625
2.7,90.867919921875
2.8,90.87615966796875
2.9,61.2872314453125
3.0,0.04119873046875
3.1,0.04119873046875
3.2,0.032958984375
3.3,0.0494384765625
3.4,0.032958984375
3.5,0.04119873046875
3.6,0.04119873046875
3.7,0.032958984375
3.8,0.0494384765625
3.9,0.032958984375
4.0,0.032958984375
4.1,0.032958984375
4.2,0.032958984375
4.3,0.032958984375
4.4,0.0494384765625
4.5,0.032958984375
4.6,0.032958984375
4.7,0.032958984375
4.8,0.02471923828125
4.9,0.04119873046875
5.0,0.032958984375
5.1,0.04119873046875
5.2,0.032958984375
5.3,0.032958984375
5.4,27.9986572265625
5.5,90.54656982421875
5.6,91.0986328125
5.7,91.22222900390625
5.8,91.41998291015625
5.9,91.329345703125
6.0,91.395263671875
6.1,91.527099609375
6.2,91.395263671875
6.3,91.37054443359375
6.4,91.197509765625
6.5,91.131591796875
6.6,91.10687255859375
6.7,91.10687255859375
6.8,91.0491943359375
6.9,91.22222900390625
7.0,91.0491943359375
7.1,91.494140625
7.2,72.3944091796875
7.3,0.04119873046875
7.4,0.032958984375
7.5,0.032958984375
7.6,0.032958984375
7.7,0.04119873046875
7.8,0.04119873046875
7.9,0.04119873046875
8.0,0.032958984375
8.1,0.032958984375
8.2,0.04119873046875
8.3,0.032958984375
8.4,0.032958984375
8.5,0.04119873046875
8.6,0.04119873046875
8.7,0.04119873046875
8.8,0.02471923828125
8.9,0.04119873046875
9.0,0.032958984375
9.1,0.032958984375
9.2,0.032958984375
9.3,0.032958984375
9.4,25.84808349609375
9.5,90.3240966796875
9.6,90.76904296875
9.7,90.867919921875
9.8,90.97503662109375
9.9,91.38702392578125
10.0,91.37054443359375
10.1,91.1151123046875
10.2,91.56829833984375
10.3,91.0162353515625
10.4,91.17279052734375
10.5,91.1151123046875
10.6,91.04095458984375
10.7,91.593017578125
10.8,91.4447021484375
10.9,91.4117431640625
11.0,91.56005859375
11.1,91.37054443359375
11.2,91.3128662109375
11.3,10.6787109375
11.4,0.032958984375
11.5,0.032958984375
11.6,0.032958984375
11.7,0.032958984375
11.8,0.04119873046875
11.9,0.032958984375
12.0,0.032958984375
12.1,0.04119873046875
12.2,0.04119873046875
12.3,0.032958984375
12.4,0.04119873046875
12.5,0.04119873046875
12.6,0.02471923828125
12.7,0.04119873046875
12.8,0.032958984375
12.9,0.032958984375
13.0,0.032958984375
13.1,0.032958984375
13.2,0.02471923828125
13.3,0.04119873046875
13.4,0.032958984375
13.5,0.032958984375
13.6,0.032958984375
13.7,61.11419677734375
13.8,90.340576171875
13.9,90.24993896484375
14.0,90.39825439453125
14.1,90.5548095703125
14.2,90.79376220703125
14.3,90.64544677734375
14.4,91.0821533203125
14.5,91.1480712890625
14.6,91.04095458984375
14.7,91.09039306640625
14.8,91.22222900390625
14.9,90.99151611328125
15.0,91.20574951171875
15.1,91.37054443359375
15.2,91.42822265625
15.3,90.97503662109375
15.4,91.1480712890625
15.5,91.07391357421875
15.6,91.23870849609375
15.7,46.439208984375
15.8,0.032958984375
15.9,0.032958984375
16.0,0.032958984375
16.1,0.032958984375
16.2,0.032958984375
16.3,0.04119873046875
16.4,0.02471923828125
16.5,0.032958984375
16.6,0.02471923828125
16.7,0.04119873046875
16.8,0.04119873046875
16.9,0.032958984375
17.0,0.032958984375
17.1,0.032958984375
17.2,0.032958984375
17.3,0.032958984375
17.4,0.032958984375
17.5,0.032958984375
17.6,0.04119873046875
17.7,0.032958984375
17.8,0.032958984375
17.9,0.032958984375
18.0,0.032958984375
18.1,0.032958984375
18.2,0.032958984375
18.3,0.032958984375
18.4,0.032958984375
18.5,0.032958984375
18.6,63.9569091796875
18.7,90.59600830078125
18.8,90.99151611328125
18.9,90.8514404296875
19.0,90.802001953125
19.1,91.2139892578125
19.2,91.09039306640625
19.3,91.17279052734375
19.4,91.0986328125
19.5,91.0162353515625
19.6,91.12335205078125
19.7,91.131591796875
19.8,91.02447509765625
19.9,91.5435791015625
20.0,91.4447021484375
20.1,91.395263671875
20.2,91.494140625
20.3,91.41998291015625
20.4,91.5106201171875
20.5,91.527099609375
20.6,91.2799072265625
20.7,32.57171630859375
20.8,0.032958984375
20.9,0.032958984375
21.0,0.032958984375
21.1,0.04119873046875
21.2,0.04119873046875
21.3,0.02471923828125
21.4,0.032958984375
21.5,0.032958984375
21.6,0.032958984375
21.7,0.032958984375
21.8,0.032958984375
21.9,0.04119873046875
22.0,0.04119873046875
22.1,0.032958984375
22.2,0.032958984375
22.3,0.02471923828125
22.4,0.032958984375
22.5,0.032958984375
22.6,0.032958984375
22.7,0.04119873046875
22.8,0.02471923828125
22.9,0.032958984375
23.0,0.04119873046875
23.1,73.49853515625
23.2,90.64544677734375
23.3,90.76904296875
23.4,90.90911865234375
23.5,91.38702392578125
23.6,91.263427734375
23.7,90.74432373046875
23.8,91.00799560546875
23.9,90.90911865234375
24.0,90.8843994140625
24.1,91.02447509765625
24.2,91.43646240234375
24.3,91.48590087890625
24.4,91.3458251953125
24.5,91.5435791015625
24.6,91.43646240234375
24.7,91.41998291015625
24.8,52.5860595703125
24.9,0.032958984375
25.0,0.032958984375
25.1,0.02471923828125
25.2,0.032958984375
25.3,0.04119873046875
25.4,0.032958984375
25.5,0.032958984375
25.6,0.032958984375
25.7,0.02471923828125
25.8,0.032958984375
25.9,0.04119873046875
26.0,0.032958984375
26.1,0.032958984375
26.2,0.032958984375
26.3,0.032958984375
26.4,0.02471923828125
26.5,0.032958984375
26.6,0.032958984375
26.7,0.032958984375
26.8,0.04119873046875
26.9,44.7088623046875
27.0,90.538330078125
27.1,90.736083984375
27.2,91.23870849609375
27.3,91.3128662109375
27.4,91.2799072265625
27.5,91.45294189453125
27.6,91.35406494140625
27.7,91.25518798828125
27.8,91.51885986328125
27.9,91.22222900390625
28.0,91.197509765625
28.1,91.4776611328125
28.2,91.3623046875
28.3,91.46942138671875
28.4,91.461181640625
28.5,90.6866455078125
28.6,90.867919921875
28.7,39.2047119140625
28.8,0.02471923828125
28.9,0.032958984375
29.0,0.032958984375
29.1,0.032958984375
29.2,0.032958984375
29.3,0.02471923828125
29.4,0.032958984375
29.5,0.02471923828125
29.6,0.032958984375
29.7,0.032958984375
29.8,0.032958984375
29.9,0.04119873046875
30.0,0.04119873046875
30.1,0.032958984375
30.2,0.04119873046875
30.3,0.032958984375
30.4,0.032958984375
30.5,0.032958984375
30.6,31.409912109375
30.7,90.34881591796875
30.8,91.197509765625
30.9,91.1151123046875
31.0,91.42822265625
31.1,90.7196044921875
31.2,90.72784423828125
31.3,90.90087890625
31.4,90.82672119140625
31.5,90.4559326171875
31.6,91.28814697265625
31.7,91.197509765625
31.8,91.2139892578125
31.9,91.3128662109375
32.0,91.1480712890625
32.1,91.28814697265625
32.2,91.09039306640625
32.3,91.0491943359375
32.4,91.16455078125
32.5,91.07391357421875
32.6,91.4447021484375
32.7,62.42431640625
32.8,0.04119873046875
32.9,0.032958984375
33.0,0.032958984375
33.1,0.032958984375
33.2,0.032958984375
33.3,0.04119873046875
33.4,0.032958984375
33.5,0.032958984375
33.6,0.032958984375
33.7,0.032958984375
33.8,0.032958984375
33.9,0.04119873046875
34.0,0.032958984375
34.1,0.04119873046875
34.2,0.032958984375
34.3,0.032958984375
34.4,0.04119873046875
34.5,0.032958984375
34.6,0.032958984375
34.7,0.04119873046875
34.8,0.032958984375
34.9,44.22271728515625
35.0,90.76080322265625
35.1,91.2799072265625
35.2,91.22222900390625
35.3,91.2469482421875
35.4,91.4776611328125
35.5,91.3623046875
35.6,91.527099609375
35.7,91.13983154296875
35.8,90.99151611328125
35.9,91.6094970703125
36.0,90.77728271484375
36.1,90.99151611328125
36.2,90.8514404296875
36.3,90.77728271484375
36.4,90.8843994140625
36.5,90.90911865234375
36.6,91.131591796875
36.7,91.33758544921875
36.8,91.197509765625
36.9,91.197509765625
37.0,91.2799072265625
37.1,90.9503173828125
37.2,90.84320068359375
37.3,90.97503662109375
37.4,43.736572265625
37.5,0.04119873046875
37.6,0.04119873046875
37.7,0.032958984375
37.8,0.032958984375
37.9,0.04119873046875
38.0,0.032958984375
38.1,0.032958984375
38.2,0.04119873046875
38.3,0.02471923828125
38.4,0.032958984375
38.5,0.02471923828125
38.6,0.032958984375
38.7,0.032958984375
38.8,0.032958984375
38.9,0.02471923828125
39.0,0.032958984375
39.1,0.0494384765625
39.2,0.02471923828125
39.3,0.04119873046875
39.4,0.032958984375
39.5,0.04119873046875
39.6,0.04119873046875
39.7,55.206298828125
39.8,89.8626708984375
39.9,90.31585693359375
40.0,90.63720703125
40.1,90.8349609375
40.2,90.736083984375
40.3,90.84320068359375
40.4,90.44769287109375
40.5,90.77728271484375
40.6,90.9832763671875
40.7,90.77728271484375
40.8,90.37353515625
40.9,90.20050048828125
41.0,90.3076171875
41.1,90.24993896484375
41.2,90.31585693359375
41.3,90.24993896484375
41.4,90.54656982421875
41.5,90.33233642578125
41.6,90.2252197265625
41.7,90.87615966796875
41.8,91.18927001953125
41.9,91.0491943359375
42.0,64.6820068359375
42.1,0.04119873046875
42.2,0.032958984375
42.3,0.032958984375
42.4,0.04119873046875
42.5,0.04119873046875
42.6,0.032958984375
42.7,0.032958984375
42.8,0.032958984375
42.9,0.032958984375
43.0,0.032958984375
43.1,0.032958984375
43.2,0.032958984375
43.3,0.032958984375
43.4,0.032958984375
43.5,0.032958984375
43.6,0.032958984375
43.7,0.04119873046875
43.8,0.032958984375
43.9,0.032958984375
44.0,0.032958984375
44.1,0.032958984375
44.2,0.04119873046875
44.3,0.032958984375
44.4,0.032958984375
44.5,0.04119873046875
44.6,0.02471923828125
44.7,12.392578125
44.8,89.59075927734375
44.9,89.615478515625
45.0,91.32110595703125
45.1,90.7855224609375
45.2,89.7637939453125
45.3,91.6094970703125
45.4,90.7855224609375
45.5,90.538330078125
45.6,92.30987548828125
45.7,90.11810302734375
45.8,91.1810302734375
45.9,91.91436767578125
46.0,89.97802734375
46.1,91.84844970703125
46.2,91.32110595703125
46.3,90.23345947265625
46.4,92.2357177734375
46.5,90.63720703125
46.6,90.63720703125
46.7,92.120361328125
46.8,89.747314453125
46.9,91.27166748046875
47.0,91.28814697265625
47.1,89.77203369140625
47.2,91.73309326171875
47.3,91.17279052734375
47.4,90.538330078125
47.5,91.29638671875
47.6,91.12335205078125
47.7,44.32159423828125
47.8,0.04119873046875
47.9,0.032958984375
48.0,0.032958984375
48.1,0.032958984375
48.2,0.04119873046875
48.3,0.02471923828125
48.4,0.032958984375
48.5,0.032958984375
48.6,0.032958984375
48.7,0.032958984375
48.8,0.032958984375
48.9,0.04119873046875
49.0,0.04119873046875
49.1,0.032958984375
49.2,0.04119873046875
49.3,0.04119873046875
49.4,0.032958984375
49.5,30.750732421875
49.6,90.0439453125
49.7,90.54656982421875
49.8,90.43121337890625
49.9,90.66192626953125
50.0,91.17279052734375
50.1,90.999755859375
50.2,91.1480712890625
50.3,91.527099609375
50.4,91.329345703125
50.5,91.1810302734375
50.6,91.065673828125
50.7,91.07391357421875
50.8,91.12335205078125
50.9,91.41998291015625
51.0,91.4447021484375
51.1,91.48590087890625
51.2,91.29638671875
51.3,91.5765380859375
51.4,91.48590087890625
51.5,91.40350341796875
51.6,91.32110595703125
51.7,38.463134765625
51.8,0.032958984375
51.9,0.032958984375
52.0,0.032958984375
52.1,0.032958984375
52.2,0.032958984375
52.3,0.032958984375
52.4,0.032958984375
52.5,0.032958984375
52.6,0.032958984375
52.7,0.02471923828125
52.8,0.02471923828125
52.9,0.032958984375
53.0,0.032958984375
53.1,0.032958984375
53.2,0.032958984375
53.3,0.04119873046875
53.4,0.02471923828125
53.5,0.04119873046875
53.6,0.032958984375
53.7,0.032958984375
53.8,0.04119873046875
53.9,63.4130859375
54.0,90.87615966796875
54.1,90.53009033203125
54.2,90.5877685546875
54.3,90.72784423828125
54.4,90.76904296875
54.5,90.703125
54.6,90.8514404296875
54.7,91.17279052734375
54.8,91.12335205078125
54.9,91.23046875
55.0,91.03271484375
55.1,91.23870849609375
55.2,91.16455078125
55.3,91.0986328125
55.4,91.23046875
55.5,91.13983154296875
55.6,91.0986328125
55.7,91.23870849609375
55.8,91.05743408203125
55.9,91.1480712890625
56.0,91.1480712890625
56.1,91.00799560546875
56.2,91.15631103515625
56.3,69.510498046875
56.4,0.0494384765625
56.5,0.032958984375
56.6,0.04119873046875
56.7,0.032958984375
56.8,0.032958984375
56.9,0.04119873046875
57.0,0.032958984375
57.1,0.04119873046875
57.2,0.032958984375
57.3,0.032958984375
57.4,0.032958984375
57.5,0.04119873046875
57.6,0.04119873046875
57.7,0.032958984375
57.8,0.032958984375
57.9,0.032958984375
58.0,0.02471923828125
58.1,0.04119873046875
58.2,0.032958984375
58.3,0.032958984375
58.4,0.032958984375
58.5,0.04119873046875
58.6,0.02471923828125
58.7,0.04119873046875
58.8,0.032958984375
58.9,0.04119873046875
59.0,0.032958984375
59.1,0.032958984375
59.2,0.032958984375
59.3,0.032958984375
59.4,0.032958984375
59.5,0.032958984375
59.6,0.04119873046875
59.7,17.49298095703125
59.8,90.11810302734375
59.9,90.53009033203125
60.0,91.4117431640625
60.1,91.3128662109375
60.2,91.395263671875
60.3,91.4776611328125
60.4,91.4117431640625
60.5,91.4447021484375
60.6,91.53533935546875
60.7,91.35406494140625
60.8,91.51885986328125
60.9,91.46942138671875
61.0,91.41998291015625
61.1,91.5435791015625
61.2,91.23046875
61.3,91.37054443359375
61.4,91.20574951171875
61.5,91.0821533203125
61.6,91.1810302734375
61.7,28.1634521484375
61.8,0.032958984375
61.9,0.04119873046875
62.0,0.04119873046875
62.1,0.02471923828125
62.2,0.02471923828125
62.3,0.04119873046875
62.4,0.032958984375
62.5,0.032958984375
62.6,0.032958984375
62.7,0.032958984375
62.8,0.04119873046875
62.9,0.032958984375
63.0,0.032958984375
63.1,0.032958984375
63.2,0.032958984375
63.3,0.04119873046875
63.4,0.04119873046875
63.5,0.032958984375
63.6,0.032958984375
63.7,0.0494384765625
63.8,67.52471923828125
63.9,90.90087890625
64.0,91.20574951171875
64.1,91.37054443359375
64.2,91.38702392578125
64.3,91.0821533203125
64.4,91.17279052734375
64.5,91.00799560546875
64.6,91.22222900390625
64.7,90.50537109375
64.8,90.72784423828125
64.9,90.82672119140625
65.0,90.71136474609375
65.1,90.76904296875
65.2,90.84320068359375
65.3,90.66192626953125
65.4,90.82672119140625
65.5,91.1480712890625
65.6,91.05743408203125
65.7,91.22222900390625
65.8,91.0821533203125
65.9,91.1480712890625
66.0,91.17279052734375
66.1,15.20233154296875
66.2,0.04119873046875
66.3,0.032958984375
66.4,0.032958984375
66.5,0.032958984375
66.6,0.032958984375
66.7,0.04119873046875
66.8,0.02471923828125
66.9,0.032958984375
67.0,0.032958984375
67.1,0.04119873046875
67.2,0.032958984375
67.3,0.04119873046875
67.4,0.032958984375
67.5,0.032958984375
67.6,0.032958984375
67.7,0.032958984375
67.8,0.02471923828125
67.9,0.032958984375
68.0,0.032958984375
68.1,0.032958984375
68.2,0.032958984375
68.3,0.032958984375
68.4,0.032958984375
68.5,0.2142333984375
68.6,82.1502685546875
68.7,90.3570556640625
68.8,90.43121337890625
68.9,90.69488525390625
69.0,90.69488525390625
69.1,90.66192626953125
69.2,90.97503662109375
69.3,91.065673828125
69.4,91.43646240234375
69.5,91.55181884765625
69.6,90.7525634765625
69.7,90.87615966796875
69.8,90.933837890625
69.9,90.7855224609375
70.0,91.2139892578125
70.1,91.2469482421875
70.2,91.13983154296875
70.3,91.33758544921875
70.4,91.17279052734375
70.5,90.99151611328125
70.6,91.05743408203125
70.7,91.065673828125
70.8,51.85272216796875
70.9,0.032958984375
71.0,0.032958984375
71.1,0.032958984375
71.2,0.032958984375
71.3,0.032958984375
71.4,0.032958984375
71.5,0.032958984375
71.6,0.04119873046875
71.7,0.032958984375
71.8,0.032958984375
71.9,0.032958984375
72.0,0.032958984375
72.1,0.032958984375
72.2,0.02471923828125
72.3,0.032958984375
72.4,0.032958984375
72.5,0.032958984375
72.6,0.04119873046875
72.7,0.04119873046875
72.8,40.05340576171875
72.9,90.76904296875
73.0,91.20574951171875
73.1,91.15631103515625
73.2,91.395263671875
73.3,91.38702392578125
73.4,91.329345703125
73.5,91.461181640625
73.6,91.37054443359375
73.7,91.3458251953125
73.8,91.395263671875
73.9,91.3787841796875
74.0,91.494140625
74.1,91.48590087890625
74.2,90.84320068359375
74.3,91.0986328125
74.4,91.17279052734375
74.5,90.99151611328125
74.6,91.6424560546875
74.7,91.28814697265625
74.8,12.21954345703125
74.9,0.032958984375
75.0,0.032958984375
75.1,0.032958984375
75.2,0.032958984375
75.3,0.032958984375
75.4,0.032958984375
75.5,0.032958984375
75.6,0.032958984375
75.7,0.032958984375
75.8,0.032958984375
75.9,0.04119873046875
76.0,0.02471923828125
76.1,0.02471923828125
76.2,0.032958984375
76.3,0.032958984375
76.4,0.04119873046875
76.5,0.04119873046875
76.6,0.04119873046875
76.7,0.0494384765625
76.8,75.43487548828125
76.9,90.28289794921875
77.0,90.57952880859375
77.1,90.76904296875
77.2,91.07391357421875
77.3,91.15631103515625
77.4,91.23870849609375
77.5,90.90087890625
77.6,91.3128662109375
77.7,91.1810302734375
77.8,91.131591796875
77.9,91.13983154296875
78.0,91.0986328125
78.1,91.00799560546875
78.2,91.17279052734375
78.3,91.35406494140625
78.4,91.45294189453125
78.5,91.494140625
78.6,91.395263671875
78.7,91.41998291015625
78.8,91.3623046875
78.9,80.6671142578125
79.0,0.06591796875
79.1,0.02471923828125
79.2,0.04119873046875
79.3,0.02471923828125
79.4,0.04119873046875
79.5,0.032958984375
79.6,0.032958984375
79.7,0.04119873046875
79.8,0.032958984375
79.9,0.04119873046875
80.0,0.032958984375
80.1,0.032958984375
80.2,0.04119873046875
80.3,0.032958984375
80.4,0.032958984375
80.5,0.032958984375
80.6,0.032958984375
80.7,0.02471923828125
80.8,0.032958984375
80.9,0.032958984375
81.0,0.032958984375
81.1,51.62200927734375
81.2,90.85968017578125
81.3,90.90087890625
81.4,90.76080322265625
81.5,90.966796875
81.6,90.99151611328125
81.7,90.933837890625
81.8,90.9503173828125
81.9,91.494140625
82.0,91.461181640625
82.1,91.23046875
82.2,91.51885986328125
82.3,91.41998291015625
82.4,91.42822265625
82.5,91.50238037109375
82.6,91.3623046875
82.7,91.5106201171875
82.8,91.46942138671875
82.9,91.40350341796875
83.0,90.79376220703125
83.1,91.0491943359375
83.2,91.17279052734375
83.3,90.81024169921875
83.4,32.58819580078125
83.5,0.032958984375
83.6,0.04119873046875
83.7,0.032958984375
83.8,0.032958984375
83.9,0.032958984375
84.0,0.04119873046875
84.1,0.04119873046875
84.2,0.0164794921875
84.3,0.032958984375
84.4,0.032958984375
84.5,0.04119873046875
84.6,0.032958984375
84.7,0.04119873046875
84.8,0.032958984375
84.9,0.032958984375
85.0,0.04119873046875
85.1,0.04119873046875
85.2,0.032958984375
85.3,0.032958984375
85.4,0.032958984375
85.5,0.032958984375
85.6,0.032958984375
85.7,58.3209228515625
85.8,90.87615966796875
85.9,91.13983154296875
86.0,91.35406494140625
86.1,91.32110595703125
86.2,91.35406494140625
86.3,91.33758544921875
86.4,91.33758544921875
86.5,91.45294189453125
86.6,91.494140625
86.7,91.17279052734375
86.8,91.53533935546875
86.9,91.02447509765625
87.0,91.07391357421875
87.1,91.18927001953125
87.2,91.05743408203125
87.3,91.16455078125
87.4,91.53533935546875
87.5,91.35406494140625
87.6,90.39825439453125
87.7,90.5218505859375
87.8,90.5548095703125
87.9,90.8514404296875
88.0,90.74432373046875
