Time(s),Degrees of Rotation
0.0,-0.02471923828125
0.1,-0.02471923828125
0.2,-0.02471923828125
0.3,-0.032958984375
0.4,-0.02471923828125
0.5,-0.02471923828125
0.6,-0.0164794921875
0.7,-0.032958984375
0.8,-0.032958984375
0.9,-0.02471923828125
1.0,-0.02471923828125
1.1,-0.0164794921875
1.2,-0.02471923828125
1.3,-0.032958984375
1.4,-0.0164794921875
1.5,-0.0164794921875
1.6,-0.02471923828125
1.7,-0.032958984375
1.8,-0.0164794921875
1.9,-0.02471923828125
2.0,-0.02471923828125
2.1,-0.02471923828125
2.2,-0.0164794921875
2.3,-0.04119873046875
2.4,-0.00823974609375
2.5,29.8114013671875
2.6,73.2183837890625
2.7,86.65740966796875
2.8,86.649169921875
2.9,86.92108154296875
3.0,86.82220458984375
3.1,86.8634033203125
3.2,86.81396484375
3.3,86.80572509765625
3.4,86.5667724609375
3.5,86.80572509765625
3.6,86.6162109375
3.7,86.77276611328125
3.8,86.72332763671875
3.9,74.46258544921875
4.0,25.78216552734375
4.1,-0.0164794921875
4.2,-0.0164794921875
4.3,-0.02471923828125
4.4,-0.02471923828125
4.5,-0.02471923828125
4.6,-0.02471923828125
4.7,-0.02471923828125
4.8,-0.02471923828125
4.9,-0.02471923828125
5.0,-0.0164794921875
5.1,-0.032958984375
5.2,-0.0164794921875
5.3,-0.02471923828125
5.4,-0.0164794921875
5.5,-0.0164794921875
5.6,25.6915283203125
5.7,70.27679443359375
5.8,86.80572509765625
5.9,86.6986083984375
6.0,86.78924560546875
6.1,86.52557373046875
6.2,86.7315673828125
6.3,86.69036865234375
6.4,86.6656494140625
6.5,86.67388916015625
6.6,86.87164306640625
6.7,86.8798828125
6.8,87.03643798828125
6.9,86.748046875
7.0,69.30450439453125
7.1,18.72894287109375
7.2,-0.02471923828125
7.3,-0.02471923828125
7.4,-0.032958984375
7.5,-0.02471923828125
7.6,-0.02471923828125
7.7,-0.02471923828125
7.8,-0.02471923828125
7.9,-0.02471923828125
8.0,-0.02471923828125
8.1,-0.0164794921875
8.2,-0.032958984375
8.3,-0.032958984375
8.4,-0.02471923828125
8.5,-0.02471923828125
8.6,14.16412353515625
8.7,59.2108154296875
8.8,86.88812255859375
8.9,86.912841796875
9.0,86.8304443359375
9.1,86.9293212890625
9.2,86.80572509765625
9.3,86.90460205078125
9.4,86.88812255859375
9.5,86.80572509765625
9.6,86.8963623046875
9.7,86.9293212890625
9.8,86.78924560546875
9.9,74.47906494140625
10.0,25.7080078125
10.1,-0.02471923828125
10.2,-0.032958984375
10.3,-0.02471923828125
10.4,-0.032958984375
10.5,-0.02471923828125
10.6,-0.02471923828125
10.7,-0.02471923828125
10.8,-0.032958984375
10.9,-0.02471923828125
11.0,-0.02471923828125
11.1,-0.02471923828125
11.2,-0.02471923828125
11.3,0.0823974609375
11.4,46.0107421875
11.5,83.0072021484375
11.6,86.69036865234375
11.7,86.73980712890625
11.8,86.59149169921875
11.9,86.583251953125
12.0,86.6656494140625
12.1,86.87164306640625
12.2,86.81396484375
12.3,86.75628662109375
12.4,86.7315673828125
12.5,86.2701416015625
12.6,56.986083984375
12.7,4.27642822265625
12.8,-0.02471923828125
12.9,-0.02471923828125
