Time(s),Volts
1.24,-0.003125
1.24,-0.000875
1.25,-0.000875
1.25,-0.00075
1.26,-0.000625
1.26,-0.000625
1.26,-0.000625
1.27,-0.000625
1.27,-0.000625
1.28,-0.000625
1.28,-0.000625
1.28,-0.0005
1.29,-0.0005
1.29,-0.000625
1.30,-0.0005
1.30,-0.0005
1.30,-0.0005
1.31,-0.0005
1.31,-0.0005
1.32,-0.0005
1.32,-0.0005
1.32,-0.0005
1.33,-0.0005
1.33,-0.000625
1.34,-0.000625
1.34,-0.0005
1.34,-0.0005
1.35,-0.0005
1.35,-0.0005
1.36,-0.0005
1.36,-0.0005
1.36,-0.0005
1.37,-0.0005
1.37,-0.000625
1.38,-0.000625
1.38,-0.0005
1.38,-0.0005
1.39,-0.0005
1.39,-0.0005
1.40,-0.0005
1.40,-0.0005
1.40,-0.000375
1.41,-0.000375
1.41,-0.0005
1.42,-0.0005
1.42,-0.0005
1.42,-0.0005
1.43,-0.0005
1.43,-0.0005
1.44,-0.000625
1.44,-0.000625
1.44,-0.0005
1.45,-0.0005
1.45,-0.000375
1.46,-0.000375
1.46,-0.0005
1.46,-0.000625
1.47,-0.000625
1.47,-0.0005
1.48,-0.000625
1.48,-0.000625
1.48,-0.000375
1.49,-0.000375
1.49,-0.000375
1.50,-0.0005
1.50,-0.0005
1.50,-0.000625
1.51,-0.000625
1.51,-0.0005
1.52,-0.000375
1.52,-0.000375
1.52,-0.0005
1.53,-0.0005
1.53,-0.000375
1.54,-0.0005
1.54,-0.0005
1.54,-0.00025
1.55,-0.00025
1.55,-0.000375
1.56,-0.000125
1.56,-0.000125
1.56,-0.00025
1.57,-0.00025
1.57,0.0011250000000000001
1.58,0.0011250000000000001
1.58,0.0011250000000000001
1.58,0.0
1.59,0.0
1.59,0.000125
1.60,0.0016250000000000001
1.60,0.0016250000000000001
1.60,-0.00025
1.61,-0.00025
1.61,-0.00025
1.62,0.0032500000000000003
1.62,0.0032500000000000003
1.62,0.005
1.63,0.005
1.63,0.001875
1.64,-0.000125
1.64,-0.000125
1.64,0.000625
1.65,0.00075
1.65,0.00075
1.66,0.0011250000000000001
1.66,0.0011250000000000001
1.66,0.00125
1.67,0.0016250000000000001
1.67,0.0016250000000000001
1.68,0.002
1.68,0.002
1.68,0.002
1.69,0.002375
1.69,0.002375
1.70,0.002625
1.70,0.002625
1.70,0.003375
1.71,0.003625
1.71,0.003625
1.72,0.004
1.72,0.004
1.72,0.003875
1.73,0.003875
