Time(s),Degrees of Rotation
0.0,0.0
0.1,-0.00823974609375
0.2,-0.00823974609375
0.3,-0.00823974609375
0.4,-0.00823974609375
0.5,-0.00823974609375
0.6,-0.00823974609375
0.7,-0.0164794921875
0.8,-0.0164794921875
0.9,-0.00823974609375
1.0,-0.00823974609375
1.1,-0.00823974609375
1.2,-0.0164794921875
1.3,-0.00823974609375
1.4,9.327392578125
1.5,81.35101318359375
1.6,93.01025390625
1.7,92.977294921875
1.8,92.977294921875
1.9,92.9278564453125
2.0,92.74658203125
2.1,92.73834228515625
2.2,92.7630615234375
2.3,92.7301025390625
2.4,93.05145263671875
2.5,93.2080078125
2.6,93.40576171875
2.7,93.23272705078125
2.8,93.2080078125
2.9,93.16680908203125
3.0,93.1585693359375
3.1,93.36456298828125
3.2,93.438720703125
3.3,93.768310546875
3.4,93.69415283203125
3.5,93.85894775390625
3.6,93.71063232421875
3.7,93.71063232421875
3.8,93.4716796875
3.9,93.33984375
4.0,93.3892822265625
4.1,36.47735595703125
4.2,-0.00823974609375
4.3,-0.00823974609375
4.4,-0.00823974609375
4.5,-0.00823974609375
4.6,-0.00823974609375
4.7,-0.00823974609375
4.8,-0.0164794921875
4.9,-0.0164794921875
5.0,-0.0164794921875
5.1,-0.00823974609375
5.2,-0.00823974609375
5.3,-0.00823974609375
5.4,-0.00823974609375
5.5,-0.0164794921875
5.6,-0.00823974609375
5.7,-0.00823974609375
5.8,-0.00823974609375
5.9,-0.0164794921875
6.0,-0.00823974609375
6.1,-0.0164794921875
6.2,-0.00823974609375
6.3,-0.0164794921875
6.4,-0.00823974609375
6.5,-0.0164794921875
6.6,-0.00823974609375
6.7,0.00823974609375
6.8,64.60784912109375
6.9,92.87017822265625
7.0,93.00201416015625
7.1,92.9443359375
7.2,93.01025390625
7.3,92.9443359375
7.4,92.61474609375
7.5,92.75482177734375
7.6,92.779541015625
7.7,92.74658203125
7.8,92.82073974609375
7.9,93.03497314453125
8.0,92.977294921875
8.1,93.03497314453125
8.2,93.05145263671875
8.3,93.0596923828125
8.4,93.043212890625
8.5,92.90313720703125
8.6,92.98553466796875
8.7,93.10089111328125
8.8,93.08441162109375
8.9,93.13385009765625
9.0,93.0596923828125
9.1,93.109130859375
9.2,92.80426025390625
9.3,92.83721923828125
9.4,92.77130126953125
9.5,79.16748046875
9.6,1.27716064453125
9.7,-0.00823974609375
9.8,-0.00823974609375
9.9,-0.00823974609375
10.0,-0.00823974609375
10.1,-0.00823974609375
10.2,-0.00823974609375
10.3,-0.00823974609375
10.4,-0.00823974609375
10.5,-0.00823974609375
10.6,-0.00823974609375
10.7,-0.00823974609375
10.8,-0.00823974609375
10.9,-0.00823974609375
11.0,-0.00823974609375
11.1,-0.00823974609375
11.2,-0.00823974609375
11.3,-0.00823974609375
11.4,-0.00823974609375
11.5,-0.00823974609375
11.6,-0.0164794921875
11.7,-0.0164794921875
11.8,-0.00823974609375
11.9,-0.00823974609375
12.0,-0.00823974609375
12.1,0.00823974609375
12.2,70.86181640625
12.3,92.39227294921875
12.4,92.52410888671875
12.5,92.5982666015625
12.6,92.57354736328125
12.7,92.6312255859375
12.8,92.32635498046875
12.9,92.3016357421875
13.0,92.24395751953125
13.1,92.35107421875
13.2,92.35107421875
13.3,92.62298583984375
13.4,92.55706787109375
13.5,92.62298583984375
13.6,92.65594482421875
13.7,92.647705078125
13.8,92.647705078125
13.9,92.6806640625
14.0,92.70538330078125
14.1,92.0050048828125
14.2,92.4993896484375
14.3,92.449951171875
14.4,92.48291015625
14.5,92.42523193359375
14.6,92.47467041015625
14.7,92.4005126953125
14.8,92.28515625
14.9,92.39227294921875
15.0,92.35931396484375
15.1,84.5233154296875
15.2,7.06146240234375
15.3,-0.0164794921875
15.4,-0.0164794921875
15.5,-0.00823974609375
15.6,-0.00823974609375
15.7,-0.00823974609375
15.8,-0.0164794921875
15.9,-0.0164794921875
16.0,-0.00823974609375
16.1,0.0
16.2,0.0
16.3,-0.00823974609375
16.4,-0.00823974609375
16.5,-0.0164794921875
16.6,-0.00823974609375
16.7,-0.00823974609375
16.8,-0.00823974609375
16.9,-0.00823974609375
17.0,-0.00823974609375
17.1,-0.00823974609375
