Time(s),Volts
0.00,-0.000625
0.00,-0.000625
0.01,-0.000375
0.01,-0.0005
0.02,-0.0005
0.02,-0.0005
0.02,-0.0005
0.03,-0.0005
0.03,-0.0005
0.04,-0.0005
0.04,-0.00025
0.04,-0.00025
0.05,-0.0005
0.05,-0.000375
0.06,-0.000375
0.06,-0.000625
0.06,-0.000625
0.07,-0.000375
0.07,-0.000625
0.08,-0.000625
0.08,-0.000375
0.08,-0.000375
0.09,-0.0005
0.09,-0.0005
0.10,-0.0005
0.10,-0.0005
0.10,-0.0005
0.11,-0.0005
0.11,-0.000375
0.12,-0.000375
0.12,-0.000625
0.12,-0.000625
0.13,-0.000375
0.13,-0.000625
0.14,-0.000625
0.14,-0.000375
0.14,-0.000375
0.15,-0.000625
0.15,-0.00025
0.16,-0.00025
0.16,-0.0005
0.16,-0.0005
0.17,-0.0005
0.17,-0.0005
0.18,-0.0005
0.18,-0.000625
0.18,-0.000625
0.19,-0.0005
0.19,-0.000625
0.20,-0.000625
0.20,-0.000375
0.20,-0.000375
0.21,-0.000625
0.21,-0.000375
0.22,-0.000375
0.22,-0.0005
0.22,-0.0005
0.23,-0.000375
0.23,-0.000375
0.24,-0.000625
0.24,-0.000375
0.24,-0.000375
0.25,-0.000625
0.25,-0.000625
0.26,-0.0005
0.26,-0.0005
0.26,-0.0005
0.27,-0.0005
0.27,-0.0005
0.28,-0.000375
0.28,-0.000625
0.28,-0.000625
0.29,-0.000375
0.29,-0.000375
0.30,-0.00075
0.30,-0.000375
0.30,-0.000375
0.31,-0.0005
0.31,-0.0005
0.32,-0.0005
0.32,-0.0005
0.32,-0.0005
0.33,-0.000375
0.33,-0.000375
0.34,-0.0005
0.34,-0.000625
0.34,-0.000625
0.35,-0.000375
0.35,-0.000375
0.36,-0.000625
0.36,-0.000625
0.36,-0.00025
0.37,-0.00075
0.37,-0.00075
0.38,-0.000375
0.38,-0.000375
0.38,-0.000625
0.39,-0.000375
0.39,-0.000375
0.40,-0.00075
0.40,-0.00075
0.40,-0.0005
0.41,-0.0005
0.41,-0.0005
0.42,-0.0005
0.42,-0.0005
0.42,-0.000375
0.43,-0.000625
0.43,-0.000625
0.44,-0.0005
0.44,-0.0005
0.44,-0.000625
0.45,-0.0005
0.45,-0.0005
0.46,-0.00075
0.46,-0.00075
0.46,-0.000375
0.47,-0.000625
0.47,-0.000625
0.48,-0.0005
0.48,-0.0005
0.48,-0.0005
0.49,-0.0005
0.49,-0.0005
0.50,-0.000375
0.50,-0.000375
0.50,-0.0005
0.51,-0.0005
0.51,-0.000375
0.52,-0.000625
0.52,-0.000625
0.52,-0.000375
0.53,-0.000375
0.53,-0.000625
0.54,-0.000375
0.54,-0.000375
0.54,-0.0005
0.55,-0.0005
0.55,0.0005
0.56,-0.0005
0.56,-0.0005
0.56,-0.0005
0.57,-0.0005
0.57,-0.000625
0.58,-0.0005
0.58,-0.0005
0.58,-0.000625
0.59,-0.000625
0.59,-0.000625
0.60,-0.000625
0.60,-0.000625
0.60,-0.0005
0.61,-0.0005
0.61,-0.000625
0.62,-0.000625
0.62,-0.0005
0.62,-0.000625
0.63,-0.000625
0.63,-0.0005
0.64,-0.0005
0.64,-0.000625
0.64,-0.00075
0.65,-0.00075
0.65,-0.00075
0.66,-0.00075
0.66,-0.000875
0.66,-0.001
0.67,-0.001
0.67,-0.001
0.68,-0.0015
0.68,-0.000875
0.68,-0.000875
0.69,-0.001875
0.69,-0.001875
0.70,-0.001375
0.70,-0.000625
0.70,-0.00075
0.71,-0.00175
0.71,-0.004
0.72,-0.004
0.72,-0.0063750000000000005
0.72,-0.0075
0.73,-0.0075
0.73,-0.0073750000000000005
0.74,-0.0073750000000000005
0.74,-0.00725
0.74,-0.00725
0.75,-0.00725
0.75,-0.007875
0.76,-0.007875
0.76,-0.006500000000000001
0.76,-0.006500000000000001
0.77,-0.00725
0.77,-0.008375
0.78,-0.008375
0.78,-0.008625
0.78,-0.008625
0.79,-0.00875
0.79,-0.00875
0.80,-0.00875
0.80,-0.008625
0.80,-0.008625
0.81,-0.008375
0.81,-0.007625
0.82,-0.007625
0.82,-0.00575
0.82,-0.00575
0.83,-0.0055
0.83,-0.00575
0.84,-0.00575
0.84,-0.005875
0.84,-0.005875
0.85,-0.006
0.85,-0.006
0.86,-0.006
0.86,-0.006125
0.86,-0.006125
0.87,-0.006
0.87,-0.00525
0.88,-0.00525
0.88,-0.00475
0.88,-0.00475
0.89,-0.004875
0.89,-0.00525
0.90,-0.00525
0.90,-0.0055
0.90,-0.0055
0.91,-0.0053750000000000004
0.91,-0.0055
0.92,-0.0055
0.92,-0.00525
0.92,-0.00525
0.93,-0.005125
0.93,-0.005
0.94,-0.005
0.94,-0.004875
0.94,-0.004875
0.95,-0.004375
0.95,-0.00375
0.96,-0.00375
0.96,-0.004
0.96,-0.004
0.97,-0.004125
0.97,-0.004375
0.98,-0.004375
